year2,Aeronautics and Aviation,Agriculture,Agriculture - Science Focus,Architecture,Being Religious,Biology,Business Accounting,Business Operations,Chidren and Homemaking,Communications,Communications Tech,Computer Science,Construction Trades,Criminology,Education,Engineering,Engineering Technology,English,Equipment Operation,Family and Home Ec,Fashion,Health Services and Health Sciences,Healthcare,History,International and Group Studies,LAS,Language,Law,Library Science,Management,Marketing,Math,Mechanics and Repairers,Military,Military Operations,Misc. Certifications,More Healthcare,Multi-disciplinary,Natural Resources and Environmental Sciences,Other Services,Philosophy+Religion,Physical Sciences,Precision Production Trades,Psychology,Public Affairs,"Recreation, Sports, and Tourism",Science Technologies/Technicians,Social Science,Visual and Performing Arts
1980,20571.0,43341.0,1384.0,48292.0,1900.0,23414.0,78186.0,1976.0,3779.0,50753.0,17262.0,20262.0,,29571.0,19609.0,29075.0,34914.0,4700.0,,8251.0,,33073.0,4253.0,,125203.0,,1391.0,46747.0,,2231.0,136429.0,10587.0,,,,18875.0,8456.0,6631.0,1654.0,,3716.0,15410.0,,41131.0,1991.0,5753.0,,37541.0,1939.0
1984,2342.0,8318.0,1667.0,41377.0,5730.0,21034.0,174122.0,9375.0,3876.0,24758.0,22835.0,35845.0,252.0,13562.0,67914.0,72930.0,42147.0,9495.0,131.0,15890.0,3212.0,14469.0,13278.0,26.0,969.0,218.0,1750.0,51293.0,19637.0,68817.0,36219.0,12302.0,20.0,195.0,,,46020.0,20106.0,1785.0,51.0,6468.0,19306.0,272.0,39919.0,3500.0,4756.0,163.0,26789.0,21173.0
1985,2488.0,8028.0,1500.0,41380.0,5789.0,20362.0,179535.0,10696.0,3904.0,26109.0,21323.0,41797.0,285.0,13327.0,65058.0,74075.0,42444.0,9580.0,248.0,15064.0,3205.0,13414.0,14075.0,23.0,1083.0,144.0,1737.0,51585.0,20095.0,66655.0,34710.0,14048.0,99.0,298.0,1.0,,45820.0,18765.0,1768.0,100.0,6434.0,19633.0,275.0,39773.0,3541.0,4610.0,135.0,25384.0,20444.0
1986,2384.0,7745.0,1369.0,41011.0,5341.0,20694.0,184950.0,10871.0,3487.0,26956.0,20408.0,44865.0,184.0,13699.0,65903.0,73229.0,43904.0,10104.0,284.0,13570.0,3086.0,13284.0,13609.0,16.0,1319.0,143.0,1739.0,53182.0,20305.0,67362.0,32624.0,15034.0,148.0,256.0,,,46517.0,18492.0,1727.0,146.0,6272.0,19236.0,298.0,40556.0,3749.0,4443.0,121.0,25585.0,19974.0
1987,1687.0,9650.0,2612.0,8982.0,6184.0,39073.0,236724.0,4199.0,932.0,44243.0,1441.0,39958.0,27.0,13024.0,89999.0,74453.0,19147.0,36098.0,,13969.0,,,13061.0,,3432.0,21501.0,11355.0,1187.0,19.0,,4292.0,16515.0,187.0,383.0,1.0,189.0,51635.0,16466.0,2820.0,,6034.0,20163.0,423.0,43225.0,12807.0,4107.0,98.0,96803.0,35916.0
1988,1716.0,8893.0,2408.0,8654.0,5929.0,37688.0,238485.0,3958.0,1137.0,45682.0,1329.0,34901.0,47.0,13467.0,94035.0,70245.0,19124.0,38517.0,,13621.0,,,12261.0,,3615.0,21915.0,11133.0,1309.0,18.0,,4986.0,15981.0,197.0,349.0,,165.0,48922.0,21633.0,3030.0,,6029.0,17820.0,494.0,45386.0,12813.0,4081.0,112.0,100753.0,36385.0
1989,1843.0,8435.0,2294.0,9268.0,5707.0,36949.0,241971.0,3646.0,1173.0,47711.0,1243.0,30968.0,30.0,14774.0,99699.0,67043.0,18858.0,42233.0,,13494.0,,,12764.0,,4107.0,23580.0,11984.0,2351.0,9.0,,5261.0,15314.0,197.0,250.0,169.0,251.0,47401.0,23692.0,2832.0,,6472.0,17336.0,512.0,48959.0,13724.0,4171.0,67.0,108252.0,37541.0
1990,2174.0,8071.0,2156.0,9451.0,5673.0,38073.0,244756.0,3467.0,1139.0,50491.0,1231.0,27554.0,19.0,15483.0,107649.0,64421.0,17796.0,47301.0,,13818.0,,,12692.0,,4615.0,25318.0,12749.0,1967.0,11.0,,5457.0,14583.0,202.0,256.0,161.0,263.0,46989.0,24761.0,2771.0,,6927.0,16139.0,526.0,54247.0,14510.0,4384.0,117.0,118378.0,39387.0
1991,2395.0,8030.0,2076.0,9867.0,5346.0,40351.0,245985.0,3210.0,1160.0,52018.0,1149.0,25411.0,24.0,17005.0,113296.0,62229.0,17145.0,51570.0,,14226.0,,,12692.0,,4886.0,26811.0,13496.0,1767.0,7.0,,5827.0,14784.0,200.0,273.0,145.0,279.0,47823.0,38450.0,3101.0,,7444.0,16408.0,533.0,58895.0,14875.0,4062.0,115.0,125494.0,41674.0
1992,3617.0,8440.0,2110.0,8878.0,5483.0,43862.0,50571.0,,672.0,54666.0,775.0,24866.0,67.0,19069.0,110549.0,62357.0,16339.0,54311.0,,14228.0,,61472.0,,,5371.0,32334.0,14670.0,2189.0,97.0,203536.0,7756.0,14893.0,78.0,,184.0,283.0,1421.0,46414.0,4649.0,,7581.0,17078.0,390.0,64007.0,16316.0,8446.0,97.0,134567.0,46867.0
1993,3958.0,8713.0,2240.0,9271.0,6556.0,47892.0,52007.0,,582.0,54361.0,881.0,24512.0,69.0,21162.0,110107.0,63186.0,16106.0,55362.0,,14547.0,,61592.0,,,5510.0,33552.0,15299.0,2108.0,83.0,204130.0,7208.0,14819.0,105.0,,11.0,270.0,6827.0,45371.0,5882.0,,7841.0,17694.0,410.0,67299.0,17141.0,9880.0,99.0,136312.0,48077.0
1994,3957.0,9112.0,2355.0,9075.0,6638.0,52226.0,50849.0,,612.0,51608.0,705.0,24499.0,75.0,23301.0,109866.0,63319.0,15983.0,53236.0,,14962.0,,68351.0,,,5577.0,33534.0,15208.0,2211.0,62.0,195720.0,6036.0,14583.0,107.0,,19.0,243.0,7382.0,40537.0,6679.0,,7603.0,18527.0,430.0,69833.0,18179.0,11502.0,112.0,134300.0,49505.0
1995,3728.0,9483.0,2455.0,8860.0,6674.0,56822.0,46690.0,,513.0,48570.0,740.0,24716.0,113.0,24442.0,108280.0,63710.0,15810.0,51224.0,,14844.0,,73435.0,,,5709.0,33419.0,14606.0,2067.0,50.0,188500.0,5181.0,13818.0,67.0,,27.0,331.0,7675.0,32480.0,7978.0,,7327.0,19377.0,355.0,72674.0,19049.0,12918.0,141.0,128740.0,49152.0
1996,3599.0,9644.0,2743.0,8398.0,5802.0,62017.0,44592.0,,442.0,47756.0,730.0,24424.0,80.0,25132.0,107749.0,63518.0,15426.0,50027.0,,15392.0,,76892.0,,,5799.0,34251.0,14827.0,2064.0,58.0,183346.0,4805.0,13061.0,63.0,,7.0,304.0,8197.0,28650.0,9146.0,,7442.0,19853.0,407.0,73851.0,20259.0,14029.0,142.0,127120.0,49505.0
1997,3579.0,10133.0,2869.0,7977.0,5684.0,65061.0,42851.0,,399.0,47628.0,583.0,24982.0,108.0,25533.0,107319.0,62729.0,14011.0,48725.0,,16176.0,,78285.0,,,5859.0,34840.0,14453.0,2045.0,48.0,184255.0,4645.0,12699.0,48.0,,4.0,262.0,8298.0,31404.0,9703.0,,7723.0,19730.0,330.0,74739.0,21123.0,15463.0,134.0,125554.0,50284.0
1998,3240.0,10434.0,3082.0,7687.0,6655.0,67073.0,40440.0,1.0,404.0,49809.0,761.0,27164.0,182.0,25453.0,108219.0,61458.0,14039.0,49089.0,,16921.0,,77879.0,,,6167.0,35657.0,15183.0,2026.0,73.0,193458.0,4492.0,12075.0,110.0,,3.0,281.0,7931.0,27663.0,9904.0,,8249.0,19598.0,407.0,74505.0,20876.0,16817.0,158.0,125676.0,52354.0
1999,3525.0,10929.0,3318.0,8295.0,7212.0,66420.0,39959.0,,437.0,51774.0,972.0,29666.0,204.0,25387.0,109827.0,59821.0,14098.0,49949.0,,17411.0,,75883.0,,,6270.0,37172.0,15823.0,1930.0,59.0,202235.0,4291.0,12303.0,60.0,,2.0,365.0,8070.0,28428.0,10098.0,,8332.0,18541.0,404.0,74111.0,20930.0,18136.0,209.0,125403.0,54722.0
2000,3438.0,11244.0,3402.0,8495.0,7352.0,64800.0,37732.0,,410.0,56272.0,1198.0,36565.0,186.0,25574.0,110728.0,60161.0,14157.0,50190.0,,17417.0,,73063.0,,,6388.0,38312.0,15901.0,1946.0,154.0,220761.0,4336.0,11706.0,85.0,,39.0,395.0,7009.0,30133.0,9742.0,,8416.0,18627.0,415.0,74704.0,20756.0,19176.0,254.0,127805.0,59095.0
2001,3817.0,11434.0,3321.0,8563.0,8433.0,63767.0,36137.0,,418.0,60106.0,1132.0,43808.0,174.0,26569.0,111452.0,60238.0,14408.0,53470.0,,17601.0,,69449.0,,,7537.0,40873.0,20678.0,2048.0,53.0,240173.0,4835.0,12670.0,109.0,,21.0,398.0,5677.0,27644.0,9462.0,,10340.0,19205.0,385.0,77954.0,20182.0,19951.0,275.0,139562.0,63829.0
2002,4073.0,11441.0,3452.0,8901.0,9412.0,63641.0,36280.0,,458.0,65268.0,1184.0,48934.0,203.0,27043.0,112392.0,61507.0,14472.0,55543.0,,17978.0,,67142.0,,,8070.0,42232.0,21609.0,2090.0,78.0,257597.0,5426.0,13606.0,192.0,,3.0,420.0,5136.0,28796.0,9420.0,,11339.0,19197.0,541.0,81302.0,20175.0,20994.0,268.0,146067.0,69781.0
2003,4684.0,14671.0,,9148.0,9719.0,64179.0,37215.0,,,70613.0,2058.0,58937.0,167.0,27700.0,111974.0,64391.0,14827.0,56861.0,,19194.0,,67843.0,123.0,198.0,8591.0,43452.0,22657.0,2637.0,99.0,272767.0,1579.0,14393.0,180.0,,6.0,529.0,4208.0,28348.0,9528.0,,12357.0,19178.0,43.0,83214.0,20778.0,21812.0,278.0,156866.0,74597.0
2004,4904.0,14421.0,,8935.0,9759.0,65384.0,39516.0,,,73938.0,2115.0,60413.0,127.0,29625.0,112895.0,65581.0,14811.0,57434.0,,19531.0,,73203.0,233.0,220.0,9355.0,44940.0,23843.0,3036.0,74.0,284363.0,1814.0,15511.0,190.0,,10.0,528.0,2270.0,29434.0,9182.0,,13329.0,19431.0,64.0,87036.0,21507.0,22596.0,196.0,165911.0,80476.0
2005,5012.0,14886.0,,9328.0,10796.0,68794.0,41777.0,,,75982.0,2646.0,54657.0,121.0,32134.0,113163.0,66860.0,14931.0,57824.0,,20389.0,,79898.0,232.0,197.0,9984.0,46224.0,25220.0,3458.0,76.0,285715.0,1724.0,16629.0,299.0,,40.0,598.0,2072.0,30502.0,9084.0,,13883.0,20389.0,67.0,90879.0,22805.0,23384.0,242.0,174082.0,84669.0
2006,5450.0,14655.0,,9603.0,10132.0,73372.0,43454.0,,,76976.0,3101.0,47158.0,147.0,36541.0,115340.0,68812.0,14583.0,58753.0,,21109.0,,90503.0,344.0,235.0,10454.0,45869.0,26558.0,3600.0,80.0,287585.0,1864.0,17285.0,305.0,,33.0,658.0,2072.0,32090.0,9260.0,,14409.0,21705.0,57.0,93652.0,23079.0,25998.0,278.0,179036.0,87078.0
2007,5754.0,14895.0,,9831.0,10287.0,79223.0,45513.0,,,78241.0,3775.0,41428.0,133.0,39962.0,114301.0,68915.0,15012.0,58855.0,,21790.0,,99872.0,781.0,254.0,10808.0,47055.0,27727.0,3874.0,82.0,292785.0,2184.0,17625.0,320.0,,168.0,747.0,2223.0,33456.0,9229.0,,14528.0,22475.0,101.0,95453.0,24239.0,28001.0,309.0,181781.0,89113.0
2008,5275.0,15111.0,,9960.0,10366.0,82145.0,47294.0,,,79867.0,4834.0,37985.0,180.0,40999.0,110847.0,70361.0,15180.0,58829.0,,22268.0,,109269.0,947.0,222.0,11180.0,47883.0,28895.0,4044.0,68.0,296734.0,2483.0,17825.0,287.0,,40.0,965.0,2310.0,35640.0,9920.0,,14773.0,23273.0,157.0,97893.0,24510.0,30437.0,291.0,184831.0,91530.0
2009,5317.0,15544.0,,10240.0,10385.0,84873.0,49287.0,,,81385.0,5268.0,37832.0,168.0,42526.0,109498.0,71054.0,15456.0,59123.0,,22359.0,,117750.0,1229.0,227.0,11396.0,48104.0,28988.0,4046.0,79.0,308758.0,2590.0,18347.0,292.0,,55.0,1024.0,2577.0,36559.0,10461.0,,14962.0,23991.0,212.0,99290.0,25044.0,32238.0,329.0,186517.0,92873.0
2010,5132.0,15859.0,,10198.0,10135.0,88564.0,51646.0,,,84736.0,4957.0,39234.0,273.0,44255.0,108147.0,74562.0,15966.0,56879.0,,22355.0,,128225.0,1369.0,263.0,11483.0,48305.0,29827.0,4097.0,85.0,317401.0,2748.0,19144.0,208.0,,56.0,961.0,1090.0,40102.0,11744.0,,15335.0,24758.0,262.0,101529.0,25504.0,33917.0,357.0,191471.0,95646.0
2011,5072.0,16308.0,,9968.0,9993.0,92045.0,53421.0,,,86679.0,5062.0,42526.0,331.0,48152.0,110584.0,78233.0,16465.0,56694.0,,22997.0,,141823.0,1733.0,317.0,12142.0,48024.0,30214.0,4662.0,96.0,321899.0,2706.0,20775.0,227.0,,64.0,1240.0,1222.0,42777.0,13668.0,,15590.0,26139.0,379.0,106999.0,26785.0,36569.0,375.0,197219.0,97977.0
2012,4985.0,16768.0,,9913.0,10356.0,98209.0,54442.0,,,86992.0,5168.0,46192.0,377.0,53794.0,111761.0,83415.0,16980.0,57902.0,,23997.0,,160847.0,1862.0,299.0,12384.0,48398.0,30209.0,4824.0,95.0,319677.0,2775.0,22915.0,251.0,,86.0,1377.0,1845.0,44684.0,15721.0,,15488.0,28072.0,455.0,116023.0,29164.0,39720.0,579.0,199419.0,99910.0
2013,4732.0,17628.0,,9928.0,10433.0,102562.0,53838.0,,,87900.0,5194.0,50099.0,247.0,59802.0,110618.0,88064.0,16800.0,56241.0,,24529.0,,178358.0,2165.0,333.0,12069.0,48080.0,30201.0,4658.0,105.0,315240.0,2815.0,24969.0,275.0,,105.0,1352.0,2403.0,46600.0,17436.0,,15605.0,29395.0,516.0,121827.0,31471.0,43362.0,591.0,198175.0,101962.0
2014,4671.0,18577.0,,9313.0,10856.0,107135.0,54253.0,,,91375.0,5153.0,57676.0,269.0,64821.0,105116.0,94412.0,16465.0,54413.0,,25139.0,,201211.0,2271.0,311.0,11386.0,46602.0,28423.0,4789.0,130.0,323931.0,2898.0,25708.0,319.0,,185.0,1363.0,3026.0,51011.0,18126.0,,14618.0,30837.0,558.0,124970.0,35011.0,46832.0,503.0,193345.0,101323.0
2015,4789.0,19664.0,,9298.0,11065.0,111713.0,55326.0,,,94579.0,5308.0,62029.0,250.0,65308.0,97987.0,100123.0,16881.0,49632.0,,25158.0,,218919.0,3220.0,305.0,10953.0,44901.0,27515.0,4753.0,104.0,327814.0,3277.0,26838.0,397.0,,278.0,1461.0,3294.0,50315.0,18263.0,,13499.0,31520.0,581.0,125095.0,35859.0,49830.0,504.0,186716.0,99784.0
2016,4659.0,19973.0,,9067.0,11375.0,115407.0,56311.0,,,96442.0,4941.0,67381.0,228.0,63758.0,93587.0,109130.0,16813.0,46339.0,,25864.0,,232280.0,3341.0,296.0,10924.0,44972.0,25985.0,4570.0,86.0,335689.0,3256.0,28117.0,388.0,,358.0,1459.0,3055.0,51253.0,18688.0,,12452.0,31950.0,478.0,125011.0,35893.0,51839.0,484.0,180508.0,97130.0
2017,4788.0,20222.0,,8770.0,11113.0,118390.0,55803.0,,,97703.0,4882.0,74703.0,153.0,62147.0,91129.0,117954.0,17966.0,44764.0,,25587.0,,241809.0,3550.0,309.0,10841.0,45373.0,25349.0,4603.0,99.0,345999.0,3302.0,29758.0,300.0,,479.0,1395.0,3180.0,52034.0,19175.0,,12112.0,32837.0,426.0,124388.0,37000.0,54231.0,550.0,178159.0,95911.0
2018,5030.0,20783.0,,8659.0,10945.0,119891.0,55483.0,,,96172.0,4649.0,83497.0,151.0,60976.0,88556.0,124119.0,18553.0,43473.0,,24808.0,,248715.0,3910.0,300.0,11059.0,45739.0,24757.0,4551.0,81.0,353086.0,3213.0,31244.0,348.0,,661.0,1107.0,3107.0,55480.0,20293.0,,11987.0,32985.0,338.0,124347.0,37225.0,54790.0,539.0,179372.0,94668.0
2019,5135.0,21156.0,,8969.0,10962.0,122762.0,54295.0,,,96549.0,4706.0,92596.0,209.0,60085.0,89029.0,128898.0,19474.0,42686.0,,24420.0,,254778.0,3700.0,358.0,11079.0,45514.0,24008.0,4554.0,99.0,358269.0,2757.0,32624.0,338.0,,791.0,875.0,3464.0,56873.0,21129.0,,12142.0,32408.0,210.0,123878.0,36639.0,54385.0,633.0,180336.0,94338.0
